F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,-0.08422259986400604,,0.0,,0.0,0,42,,0.6849058270454407
0.2512512803077698,,-0.0984567180275917,,0.24756303429603577,,0.3018697500228882,,0,42,0.6944370865821838,
,0.1525442898273468,,-0.059082161635160446,,0.3698412775993347,,0.09937286376953125,1,85,,0.6864487528800964
0.31904593110084534,,0.030864620581269264,,0.366470605134964,,0.3822339177131653,,1,85,0.6811018586158752,
,0.6039175391197205,,0.19105647504329681,,0.6009619832038879,,0.6549252271652222,2,128,,0.6905728578567505
0.3241206109523773,,0.009481525048613548,,0.3927241265773773,,0.37112748622894287,,2,128,0.6933821439743042,
,0.622868537902832,,0.2926219403743744,,0.7182419896125793,,0.6122244596481323,3,171,,0.6420308351516724
0.4658898413181305,,0.09892962872982025,,0.5151260495185852,,0.548648476600647,,3,171,0.6627034544944763,
,0.747826874256134,,0.333760529756546,,0.6549336314201355,,0.9080274701118469,4,214,,0.6080802083015442
0.648938000202179,,0.2981342673301697,,0.6498738527297974,,0.7343558073043823,,4,214,0.6137959957122803,
,0.7504714727401733,,0.4185177981853485,,0.6970163583755493,,0.8609587550163269,5,257,,0.5990697145462036
0.558957576751709,,0.23376207053661346,,0.6287466287612915,,0.5706372261047363,,5,257,0.6470529437065125,
,0.726582407951355,,0.2610480487346649,,0.602215051651001,,0.9692961573600769,6,300,,0.7570886015892029
0.7137801647186279,,0.4654598534107208,,0.725651204586029,,0.7700140476226807,,6,300,0.5448557734489441,
,0.7597373723983765,,0.42182600498199463,,0.7187469005584717,,0.8442183136940002,7,343,,0.6013561487197876
0.7443122267723083,,0.5260239839553833,,0.7677100896835327,,0.7832563519477844,,7,343,0.4824572503566742,
,0.71334308385849,,0.385114848613739,,0.7155144810676575,,0.7515096664428711,8,386,,0.6779394149780273
0.8696058392524719,,0.7463746070861816,,0.8628992438316345,,0.9024090766906738,,8,386,0.29493385553359985,
,0.724798858165741,,0.3516213297843933,,0.6773064732551575,,0.8259644508361816,9,429,,0.7698272466659546
0.9197434186935425,,0.8894127607345581,,0.915777325630188,,0.9320167899131775,,9,429,0.15213167667388916,
,0.7456916570663452,,0.39221909642219543,,0.7004220485687256,,0.8372408747673035,10,430,,0.5996986627578735
