F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,0.0,,0.0,0,42,,0.5545815229415894
0.15300513803958893,,0.15549877285957336,,0.18778443336486816,,0,42,0.6622883081436157,
,0.0,,0.0,,0.0,1,85,,0.5262162685394287
0.015058482997119427,,0.021198824048042297,,0.013685832731425762,,1,85,0.5321965217590332,
,0.017415223643183708,,0.06527778506278992,,0.01053219847381115,2,128,,0.5206359028816223
0.01522092055529356,,0.02079271897673607,,0.014376217499375343,,2,128,0.5238606929779053,
,0.042292945086956024,,0.08888887614011765,,0.03134548291563988,3,171,,0.5013667941093445
0.030530016869306564,,0.03549382463097572,,0.03309779614210129,,3,171,0.5088244676589966,
,0.13361507654190063,,0.16999244689941406,,0.12403484433889389,4,214,,0.488748162984848
0.0868072658777237,,0.09827805310487747,,0.09214575588703156,,4,214,0.47991979122161865,
,0.22352521121501923,,0.26865434646606445,,0.20637020468711853,5,257,,0.4788009226322174
0.15494510531425476,,0.1685754358768463,,0.16130614280700684,,5,257,0.4452604353427887,
,0.2570927143096924,,0.30392107367515564,,0.2555493712425232,6,300,,0.4693693220615387
0.2037709355354309,,0.21081076562404633,,0.21604947745800018,,6,300,0.4146716892719269,
,0.2369890660047531,,0.27438515424728394,,0.23713044822216034,7,343,,0.46157702803611755
0.2400517612695694,,0.24537044763565063,,0.2518271803855896,,7,343,0.3862955570220947,
,0.23517504334449768,,0.27250319719314575,,0.24755355715751648,8,386,,0.4632287621498108
0.2608838677406311,,0.26681286096572876,,0.2728637754917145,,8,386,0.3668207824230194,
,0.26038622856140137,,0.2954806983470917,,0.26418134570121765,9,429,,0.46078553795814514
0.27738332748413086,,0.282407283782959,,0.2902451455593109,,9,429,0.35352668166160583,
,0.2738295793533325,,0.3189164996147156,,0.2746443450450897,10,430,,0.4603196680545807
