epoch,step,train_loss,val_loss
0,100,,1.0518840551376343
0,100,1.093839168548584,
1,201,,1.0611013174057007
1,201,0.9888402223587036,
2,302,,1.1023898124694824
2,302,0.8636794686317444,
3,403,,1.1284217834472656
3,403,0.7931950092315674,
4,504,,1.1078890562057495
4,504,0.8194429874420166,
5,505,,1.0518840551376343
