F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.7636244893074036,,0.4221479892730713,,0.6776184439659119,,0.9151307940483093,0,42,,0.5942228436470032
0.31186991930007935,,0.01876455545425415,,0.3570381700992584,,0.3267350494861603,,0,42,0.6801548600196838,
,0.5798344612121582,,0.3839152157306671,,0.8063493371009827,,0.4868168532848358,1,85,,0.6278630495071411
0.6656200885772705,,0.4509378969669342,,0.6981916427612305,,0.7118768692016602,,1,85,0.5759286284446716,
,0.771939218044281,,0.466830313205719,,0.7320659160614014,,0.8391522765159607,2,128,,0.5594841837882996
0.7744595408439636,,0.6686621308326721,,0.8015640377998352,,0.8044965267181396,,2,128,0.43191492557525635,
,0.7178243398666382,,0.4158957898616791,,0.754561185836792,,0.7075100541114807,3,171,,0.6634958982467651
0.8947076201438904,,0.8613603711128235,,0.9044476747512817,,0.906158447265625,,3,171,0.22028641402721405,
,0.7633229494094849,,0.4664452373981476,,0.7420334219932556,,0.8203057646751404,4,214,,0.7270735502243042
0.9412232637405396,,0.9509462714195251,,0.9474585056304932,,0.9459922313690186,,4,214,0.09673117846250534,
,0.779299795627594,,0.49270862340927124,,0.7500134110450745,,0.8398464918136597,5,257,,0.9741306304931641
0.9660661816596985,,0.9851267337799072,,0.9638318419456482,,0.9711633324623108,,5,257,0.0330759659409523,
,0.7762385010719299,,0.4913558065891266,,0.743224561214447,,0.8420590162277222,6,300,,1.055988073348999
0.944085955619812,,0.9950422644615173,,0.9433040022850037,,0.9462366104125977,,6,300,0.015966087579727173,
,0.771939218044281,,0.466830313205719,,0.7320659160614014,,0.8391522765159607,7,301,,0.5594841837882996
