evaluation,metric,average
EVALUATION_1,ICM-Soft,0.41529270665354934
EVALUATION_1,ICM-Soft-Norm,0.5689675211538534
EVALUATION_1,CE,0.9602232661404229
EVALUATION_2,ICM-Soft,0.20129916172599516
EVALUATION_2,ICM-Soft-Norm,0.5334305977882142
EVALUATION_2,CE,0.9330927390679458
EVALUATION_3,ICM-Soft,-1.2227907047872955
EVALUATION_3,ICM-Soft-Norm,0.297565950118733
EVALUATION_3,CE,0.9945389430074599
EVALUATION_4,ICM-Soft,0.39509496534485755
EVALUATION_4,ICM-Soft-Norm,0.5656600805297054
EVALUATION_4,CE,0.9307875727285136
EVALUATION_5,ICM-Soft,0.3878364536478531
EVALUATION_5,ICM-Soft-Norm,0.5645398534829948
EVALUATION_5,CE,0.9018305347047392
average,CE,0.9440946111298162
average,ICM-Soft,0.03534651651699193
average,ICM-Soft-Norm,0.5060328006147001
