F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.7394899129867554,,0.3367263376712799,,0.6471235156059265,,0.899659276008606,0,42,,0.6702395081520081
0.3591117858886719,,0.046869419515132904,,0.3929618000984192,,0.387341171503067,,0,42,0.674750804901123,
,0.6774499416351318,,0.317550927400589,,0.7106675505638123,,0.6875572204589844,1,85,,0.588539719581604
0.657325029373169,,0.4620742201805115,,0.7157869338989258,,0.6781525611877441,,1,85,0.5683387517929077,
,0.6965566873550415,,0.40133196115493774,,0.7734642028808594,,0.6673672795295715,2,128,,0.6255340576171875
0.7919288277626038,,0.6786991953849792,,0.8098729848861694,,0.8176929950714111,,2,128,0.40770089626312256,
,0.7813918590545654,,0.44122520089149475,,0.7074109315872192,,0.8904585242271423,3,171,,0.6431992650032043
0.8947632908821106,,0.8837031722068787,,0.9034700989723206,,0.9122679829597473,,3,171,0.20217114686965942,
,0.7573971748352051,,0.42536845803260803,,0.7462353706359863,,0.7952003479003906,4,214,,0.8759002685546875
0.9497556090354919,,0.9554503560066223,,0.951857328414917,,0.9550341963768005,,4,214,0.08884118497371674,
,0.7645189166069031,,0.4283789098262787,,0.7362592220306396,,0.8188994526863098,5,257,,1.0367847681045532
0.9665130972862244,,0.9900844693183899,,0.9679863452911377,,0.9665199518203735,,5,257,0.027212224900722504,
,0.6774499416351318,,0.317550927400589,,0.7106675505638123,,0.6875572204589844,6,258,,0.588539719581604
