evaluation,metric,average
EVALUATION_1,ICM-Soft,-1.5095209026421592
EVALUATION_1,ICM-Soft-Norm,0.34370509275548716
EVALUATION_1,CE,1.4569259407104507
EVALUATION_2,ICM-Soft,-1.828379302822956
EVALUATION_2,ICM-Soft-Norm,0.3130663559993334
EVALUATION_2,CE,1.4826633312748365
EVALUATION_3,ICM-Soft,-1.8822824830816347
EVALUATION_3,ICM-Soft-Norm,0.3052688673136469
EVALUATION_3,CE,1.4658702660099214
EVALUATION_4,ICM-Soft,-1.6446326057864542
EVALUATION_4,ICM-Soft-Norm,0.33095153277122796
EVALUATION_4,CE,1.4526579431817328
EVALUATION_5,ICM-Soft,-1.7173839046787933
EVALUATION_5,ICM-Soft-Norm,0.3226347202643899
EVALUATION_5,CE,1.4570138591653987
average,CE,1.463026268068468
average,ICM-Soft,-1.7164398398023994
average,ICM-Soft-Norm,0.3231253138208171
