F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.029394282028079033,,0.07389486581087112,,0.020149340853095055,0,121,,0.5000312924385071
0.09442746639251709,,0.09873451292514801,,0.1201329454779625,,0,121,0.5421715378761292,
,0.30543115735054016,,0.3427475392818451,,0.3215750753879547,1,243,,0.44304198026657104
0.1473829448223114,,0.16970126330852509,,0.1521967649459839,,1,243,0.45925194025039673,
,0.3675949275493622,,0.3890126347541809,,0.3968566954135895,2,365,,0.4494515061378479
0.25524288415908813,,0.2875184118747711,,0.2644183337688446,,2,365,0.3994563817977905,
,0.3603194057941437,,0.4205440580844879,,0.35844019055366516,3,487,,0.46121615171432495
0.36057522892951965,,0.39438802003860474,,0.3691338002681732,,3,487,0.3242264688014984,
,0.399604856967926,,0.44700366258621216,,0.41269075870513916,4,609,,0.4704374074935913
0.45045071840286255,,0.48038449883461,,0.4592982232570648,,4,609,0.25977984070777893,
,0.3636211156845093,,0.43405649065971375,,0.3589242398738861,5,731,,0.48455432057380676
0.5074669718742371,,0.5278933048248291,,0.5184483528137207,,5,731,0.20312491059303284,
,0.30766239762306213,,0.3420604169368744,,0.32416608929634094,6,732,,0.445673406124115
