F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.7995407581329346,,0.4886557161808014,,0.7433610558509827,,0.8961923122406006,0,122,,0.4804745018482208
0.4610635042190552,,0.22667081654071808,,0.4916618764400482,,0.5114553570747375,,0,122,0.6199113726615906,
,0.7418764233589172,,0.5032286047935486,,0.8237043619155884,,0.7025657296180725,1,245,,0.49235036969184875
0.6998897790908813,,0.5649725794792175,,0.7021453976631165,,0.757633626461029,,1,245,0.4635390639305115,
,0.787142813205719,,0.5472666025161743,,0.8100476861000061,,0.7951953411102295,2,368,,0.5374723672866821
0.7917689681053162,,0.7299781441688538,,0.80264812707901,,0.8211541175842285,,2,368,0.32369184494018555,
,0.7898754477500916,,0.5188189744949341,,0.7660832405090332,,0.842877984046936,3,491,,0.5729759335517883
0.8718447089195251,,0.8785983324050903,,0.8812611103057861,,0.8826433420181274,,3,491,0.17531777918338776,
,0.6540358066558838,,0.49170973896980286,,0.8763347268104553,,0.5617915391921997,4,614,,1.0556658506393433
0.9077954888343811,,0.9307666420936584,,0.913702666759491,,0.9130758047103882,,4,614,0.10611995309591293,
,0.7995407581329346,,0.4886557161808014,,0.7433610558509827,,0.8961923122406006,5,615,,0.4804745018482208
