evaluation,metric,average
EVALUATION_1,ICM-Soft,-5.196560451436
EVALUATION_1,ICM-Soft-Norm,0.22534335546982023
EVALUATION_2,ICM-Soft,-5.437571098961974
EVALUATION_2,ICM-Soft-Norm,0.2125369419168117
EVALUATION_3,ICM-Soft,-5.129131006073697
EVALUATION_3,ICM-Soft-Norm,0.23183229647010345
EVALUATION_4,ICM-Soft,-6.211635938644671
EVALUATION_4,ICM-Soft-Norm,0.166850899693721
EVALUATION_5,ICM-Soft,-6.483555218993594
EVALUATION_5,ICM-Soft-Norm,0.1537324934287864
average,ICM-Soft,-5.691690742821987
average,ICM-Soft-Norm,0.19805919739584854
