F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,0.0,,0.0,0,42,,0.5483658313751221
0.0762348622083664,,0.07391691952943802,,0.10815126448869705,,0,42,0.6097405552864075,
,0.0,,0.0,,0.0,1,85,,0.5413653254508972
0.0025980391073971987,,0.0049019609577953815,,0.002051820745691657,,1,85,0.5509207844734192,
,0.13268227875232697,,0.19523967802524567,,0.13431194424629211,2,128,,0.5450274348258972
0.07203225791454315,,0.09996145963668823,,0.06800305098295212,,2,128,0.5185335278511047,
,0.22849123179912567,,0.29277747869491577,,0.23252366483211517,3,171,,0.5505868196487427
0.255907267332077,,0.29734131693840027,,0.26274505257606506,,3,171,0.45023468136787415,
,0.2930707037448883,,0.3729165494441986,,0.2782430350780487,4,214,,0.5462768077850342
0.38992175459861755,,0.4228617548942566,,0.4000583291053772,,4,214,0.35953620076179504,
,0.3027931749820709,,0.37115341424942017,,0.29183247685432434,5,257,,0.550287663936615
0.4816395342350006,,0.5004820227622986,,0.4996591806411743,,5,257,0.2770768404006958,
,0.0,,0.0,,0.0,6,258,,0.5413653254508972
