evaluation,metric,average
EVALUATION_1,ICM-Soft,0.15798638671931955
EVALUATION_1,ICM-Soft-Norm,0.5249548055118409
EVALUATION_1,CE,0.8550017185232993
EVALUATION_2,ICM-Soft,0.1268389053900822
EVALUATION_2,ICM-Soft-Norm,0.5200348921262925
EVALUATION_2,CE,0.8572084181276445
EVALUATION_3,ICM-Soft,0.2204727897800611
EVALUATION_3,ICM-Soft-Norm,0.534825720654209
EVALUATION_3,CE,0.8619979566793127
EVALUATION_4,ICM-Soft,0.039452987822268394
EVALUATION_4,ICM-Soft-Norm,0.5062312836209721
EVALUATION_4,CE,0.8779940212269476
EVALUATION_5,ICM-Soft,0.3197695007293901
EVALUATION_5,ICM-Soft-Norm,0.5504998349351453
EVALUATION_5,CE,0.8347836733534655
average,CE,0.857397157582134
average,ICM-Soft,0.1729041140882243
average,ICM-Soft-Norm,0.527309307369692
