evaluation,metric,average
EVALUATION_1,ICM-Soft,-6.789425271157996
EVALUATION_1,ICM-Soft-Norm,0.1428497542339146
EVALUATION_2,ICM-Soft,-6.943833907549534
EVALUATION_2,ICM-Soft-Norm,0.140464955158276
EVALUATION_3,ICM-Soft,-6.759746435220361
EVALUATION_3,ICM-Soft-Norm,0.14959359684413645
EVALUATION_4,ICM-Soft,-6.630432713855201
EVALUATION_4,ICM-Soft-Norm,0.14947754941794833
EVALUATION_5,ICM-Soft,-6.868182680068807
EVALUATION_5,ICM-Soft-Norm,0.14160475826399743
average,ICM-Soft,-6.798324201570379
average,ICM-Soft-Norm,0.14479812278365456
