epoch,step,train_loss,val_loss
0,100,,1.0478367805480957
0,100,1.0917651653289795,
1,201,,1.063396692276001
1,201,0.9833596348762512,
2,302,,1.0954127311706543
2,302,0.8593772053718567,
3,403,,1.0991514921188354
3,403,0.7926317453384399,
4,504,,1.1765336990356445
4,504,0.8057773113250732,
5,505,,1.0478367805480957
