epoch,step,train_loss,val_loss
0,100,,1.0599011182785034
0,100,1.0936121940612793,
1,201,,1.0650886297225952
1,201,1.0105663537979126,
2,302,,1.1041394472122192
2,302,0.894892692565918,
3,403,,1.1846346855163574
3,403,0.8083027601242065,
4,504,,1.1940407752990723
4,504,0.815062940120697,
5,505,,1.0599011182785034
