evaluation,metric,average
EVALUATION_1,ICM-Soft,-5.894161941359528
EVALUATION_1,ICM-Soft-Norm,0.19108293509980423
EVALUATION_2,ICM-Soft,-6.323363178825019
EVALUATION_2,ICM-Soft-Norm,0.16692229778202847
EVALUATION_3,ICM-Soft,-4.074477384473235
EVALUATION_3,ICM-Soft-Norm,0.2821642602993134
EVALUATION_4,ICM-Soft,-4.389073270168443
EVALUATION_4,ICM-Soft-Norm,0.2677943863912275
EVALUATION_5,ICM-Soft,-4.223879909540935
EVALUATION_5,ICM-Soft-Norm,0.2732953792983497
average,ICM-Soft,-4.980991136873432
average,ICM-Soft-Norm,0.23625185177414468
