F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.20684097707271576,,0.23332588374614716,,0.21596983075141907,0,113,,0.4421968460083008
0.10931892693042755,,0.11219026148319244,,0.1342604011297226,,0,113,0.5174233913421631,
,0.1948903650045395,,0.22838759422302246,,0.20263031125068665,1,227,,0.46190837025642395
0.11782028526067734,,0.13752497732639313,,0.12442760169506073,,1,227,0.4328734874725342,
,0.3419199287891388,,0.3965066373348236,,0.34614893794059753,2,341,,0.416243314743042
0.18477988243103027,,0.21035845577716827,,0.18927234411239624,,2,341,0.390853613615036,
,0.38103359937667847,,0.420849472284317,,0.4029160141944885,3,455,,0.40279150009155273
0.2387823611497879,,0.2636786103248596,,0.24569882452487946,,3,455,0.3397940695285797,
,0.39521580934524536,,0.4299337565898895,,0.4126095771789551,4,569,,0.40445995330810547
0.30950793623924255,,0.33579254150390625,,0.3202722370624542,,4,569,0.29324328899383545,
,0.3760269582271576,,0.42471200227737427,,0.3824385106563568,5,683,,0.42957279086112976
0.38260596990585327,,0.40285277366638184,,0.39387768507003784,,5,683,0.24999751150608063,
,0.3724929988384247,,0.4283694326877594,,0.3698504865169525,6,797,,0.4324270784854889
0.4277150332927704,,0.445004403591156,,0.437942236661911,,6,797,0.20858317613601685,
,0.39672061800956726,,0.4639461636543274,,0.3867230713367462,7,911,,0.4321906268596649
0.4759429395198822,,0.48890650272369385,,0.48505014181137085,,7,911,0.16629284620285034,
,0.38333767652511597,,0.4251416325569153,,0.40242719650268555,8,912,,0.4050162136554718
