evaluation,metric,average
EVALUATION_1,ICM-Soft,-4.047181805033364
EVALUATION_1,ICM-Soft-Norm,0.28885678967696937
EVALUATION_2,ICM-Soft,-3.960737678459594
EVALUATION_2,ICM-Soft-Norm,0.2917298342986198
EVALUATION_3,ICM-Soft,-4.216717028287068
EVALUATION_3,ICM-Soft-Norm,0.28107716077921036
EVALUATION_4,ICM-Soft,-3.9355945497630986
EVALUATION_4,ICM-Soft-Norm,0.2900231355115588
EVALUATION_5,ICM-Soft,-4.513966524045647
EVALUATION_5,ICM-Soft-Norm,0.26146369077723686
average,ICM-Soft,-4.134839517117754
average,ICM-Soft-Norm,0.282630122208719
