evaluation,metric,average
EVALUATION_1,ICM-Soft,-5.481471899327865
EVALUATION_1,ICM-Soft-Norm,0.20672889735435457
EVALUATION_2,ICM-Soft,-6.290779811537809
EVALUATION_2,ICM-Soft-Norm,0.16390357202173095
EVALUATION_3,ICM-Soft,-6.296805316531993
EVALUATION_3,ICM-Soft-Norm,0.16926577324860853
EVALUATION_4,ICM-Soft,-6.235227945271792
EVALUATION_4,ICM-Soft-Norm,0.1687586588325669
EVALUATION_5,ICM-Soft,-5.54805527843822
EVALUATION_5,ICM-Soft-Norm,0.20095858677961867
average,ICM-Soft,-5.970468050221536
average,ICM-Soft-Norm,0.18192309764737594
