F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.20009972155094147,,0.1366119682788849,,0.591269850730896,,0.12404660880565643,0,42,,0.6673170924186707
0.2962755262851715,,-0.02312787063419819,,0.33860522508621216,,0.3351742923259735,,0,42,0.6847260594367981,
,0.659675657749176,,0.35183265805244446,,0.7675083875656128,,0.6133818626403809,1,85,,0.5936979651451111
0.690568208694458,,0.3640955984592438,,0.7372989654541016,,0.715128481388092,,1,85,0.5938106179237366,
,0.7075711488723755,,0.3900558054447174,,0.7594534754753113,,0.6863730549812317,2,128,,0.7927083373069763
0.8605569005012512,,0.6992039680480957,,0.8861928582191467,,0.8548046946525574,,2,128,0.38135695457458496,
,0.715949296951294,,0.2948819696903229,,0.6768856644630432,,0.7824310064315796,3,171,,0.956132709980011
0.9573590159416199,,0.9129506945610046,,0.9695547819137573,,0.9518359303474426,,3,171,0.1331346482038498,
,0.7560547590255737,,0.3684200048446655,,0.6954014301300049,,0.8443832397460938,4,214,,1.220999002456665
0.9814021587371826,,0.9616436958312988,,0.9837161898612976,,0.9811060428619385,,4,214,0.06267166882753372,
,0.736357569694519,,0.3917770981788635,,0.7340136170387268,,0.7621831297874451,5,257,,1.2767105102539062
0.9945316910743713,,0.9856826066970825,,0.9942007660865784,,0.9954429864883423,,5,257,0.027187112718820572,
,0.659675657749176,,0.35183265805244446,,0.7675083875656128,,0.6133818626403809,6,258,,0.5936979651451111
