F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.04438549280166626,,0.09629631042480469,,0.03155706822872162,0,84,,0.549370527267456
0.1056285947561264,,0.13042080402374268,,0.12530174851417542,,0,84,0.5900059938430786,
,0.08121243864297867,,0.1598544865846634,,0.061163511127233505,1,169,,0.5314057469367981
0.032146140933036804,,0.050052545964717865,,0.030448175966739655,,1,169,0.5381506681442261,
,0.10090342909097672,,0.1602371633052826,,0.08293537050485611,2,254,,0.5343973636627197
0.04895797744393349,,0.0745430439710617,,0.045340802520513535,,2,254,0.5212692022323608,
,0.11814364045858383,,0.1810799092054367,,0.102403424680233,3,339,,0.5331408381462097
0.07324377447366714,,0.11181721091270447,,0.06552691012620926,,3,339,0.5104120373725891,
,0.12144936621189117,,0.18466083705425262,,0.10622678697109222,4,424,,0.5267056822776794
0.10825460404157639,,0.16160893440246582,,0.09699520468711853,,4,424,0.4965289533138275,
,0.14049941301345825,,0.2257196605205536,,0.12079926580190659,5,509,,0.52342289686203
0.16187797486782074,,0.22952154278755188,,0.14711017906665802,,5,509,0.47796374559402466,
,0.15626223385334015,,0.2640778422355652,,0.12875495851039886,6,594,,0.5233527421951294
0.18781350553035736,,0.2591869831085205,,0.17181901633739471,,6,594,0.46065130829811096,
,0.18195851147174835,,0.2963986098766327,,0.1563441902399063,7,679,,0.5222887992858887
0.21280445158481598,,0.28894901275634766,,0.1927616149187088,,7,679,0.4462277889251709,
,0.19517140090465546,,0.3052375018596649,,0.17056234180927277,8,764,,0.5232134461402893
0.2316158562898636,,0.3092383146286011,,0.21241366863250732,,8,764,0.43032383918762207,
,0.20105516910552979,,0.3072971701622009,,0.17351962625980377,9,849,,0.5238726735115051
0.2461664378643036,,0.3253302276134491,,0.22461484372615814,,9,849,0.42256689071655273,
,0.18195851147174835,,0.2963986098766327,,0.1563441902399063,10,850,,0.5222887992858887
