F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,0.0,,0.0,0,42,,0.5534887313842773
0.15515168011188507,,0.15894624590873718,,0.19084978103637695,,0,42,0.6636213660240173,
,0.0014430014416575432,,0.007936508394777775,,0.0007936508627608418,1,85,,0.5250579118728638
0.018977591767907143,,0.02634803205728531,,0.016993461176753044,,1,85,0.5342438817024231,
,0.006172840017825365,,0.01984127052128315,,0.003713152138516307,2,128,,0.5156815648078918
0.011715687811374664,,0.015318626537919044,,0.010988564230501652,,2,128,0.5265747308731079,
,0.05683276802301407,,0.09880952537059784,,0.042890362441539764,3,171,,0.5054753422737122
0.029768893495202065,,0.0344771072268486,,0.03353758528828621,,3,171,0.513086199760437,
,0.15151679515838623,,0.19540444016456604,,0.1431904137134552,4,214,,0.4944494366645813
0.07186738401651382,,0.08651958405971527,,0.07377444952726364,,4,214,0.4880421459674835,
,0.22162923216819763,,0.26314911246299744,,0.2171296328306198,5,257,,0.4808416962623596
0.1365661770105362,,0.14934641122817993,,0.1416260004043579,,5,257,0.4633491635322571,
,0.22925420105457306,,0.2733302414417267,,0.2223702371120453,6,300,,0.46894004940986633
0.17675065994262695,,0.18480394780635834,,0.1862746775150299,,6,300,0.43839868903160095,
,0.23261287808418274,,0.28807950019836426,,0.2256181389093399,7,343,,0.4637642800807953
0.20833808183670044,,0.2152368724346161,,0.2196488380432129,,7,343,0.41541892290115356,
,0.22833767533302307,,0.2641478478908539,,0.2355954349040985,8,386,,0.46596723794937134
0.22951002418994904,,0.2344771921634674,,0.23974670469760895,,8,386,0.3917500674724579,
,0.24816817045211792,,0.2677946984767914,,0.25535425543785095,9,429,,0.45915454626083374
0.24379099905490875,,0.24763064086437225,,0.25514698028564453,,9,429,0.3769499361515045,
,0.24213679134845734,,0.2680297791957855,,0.24827437102794647,10,430,,0.46255943179130554
