F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,0.0,,0.0,0,42,,0.5525727868080139
0.15821269154548645,,0.16429048776626587,,0.1954278200864792,,0,42,0.6636447906494141,
,0.0013227512827143073,,0.007936508394777775,,0.0007215007208287716,1,85,,0.5241902470588684
0.014760969206690788,,0.020894788205623627,,0.013397247530519962,,1,85,0.5341057777404785,
,0.0013227512827143073,,0.007936508394777775,,0.0007215007208287716,2,128,,0.5179524421691895
0.007964602671563625,,0.012045232579112053,,0.006555227562785149,,2,128,0.5286048054695129,
,0.02926931530237198,,0.08664020150899887,,0.01819983497262001,3,171,,0.5134817957878113
0.021667368710041046,,0.026671575382351875,,0.022246798500418663,,3,171,0.5181494951248169,
,0.10025300085544586,,0.10913046449422836,,0.11203861236572266,4,214,,0.5060142874717712
0.04472769796848297,,0.053588975220918655,,0.05047528073191643,,4,214,0.4969104826450348,
,0.1421573907136917,,0.15262846648693085,,0.1646326631307602,5,257,,0.49847516417503357
0.1084514930844307,,0.12274672091007233,,0.11541296541690826,,5,257,0.4733389914035797,
,0.16056561470031738,,0.18487949669361115,,0.181784525513649,6,300,,0.4890223443508148
0.14255733788013458,,0.1513439118862152,,0.15318763256072998,,6,300,0.4526959955692291,
,0.16853925585746765,,0.1901155263185501,,0.18277600407600403,7,343,,0.4785230755805969
0.17856907844543457,,0.18420206010341644,,0.18956923484802246,,7,343,0.4345982074737549,
,0.219691663980484,,0.24402457475662231,,0.23776783049106598,8,386,,0.47641536593437195
0.19674119353294373,,0.20366285741329193,,0.2058342844247818,,8,386,0.41399404406547546,
,0.22806484997272491,,0.25638049840927124,,0.24143341183662415,9,429,,0.4760969579219818
0.21124006807804108,,0.21792037785053253,,0.22009184956550598,,9,429,0.400797039270401,
,0.22472909092903137,,0.24440288543701172,,0.23930758237838745,10,430,,0.4777968227863312
