F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.619175136089325,,0.18632769584655762,,0.5844089388847351,,0.7950558066368103,0,114,,0.6860008239746094
0.18431171774864197,,0.13886874914169312,,0.20073458552360535,,0.21013857424259186,,0,114,0.6696087121963501,
,0.6996253132820129,,0.4541679918766022,,0.7035179138183594,,0.7536336183547974,1,229,,0.5720798373222351
0.4379034638404846,,0.3249264657497406,,0.4802646338939667,,0.48020994663238525,,1,229,0.598847508430481,
,0.6959682703018188,,0.4644908308982849,,0.710951566696167,,0.735072672367096,2,344,,0.5278400182723999
0.5718111991882324,,0.48838382959365845,,0.6217231154441833,,0.6019277572631836,,2,344,0.540046751499176,
,0.7094096541404724,,0.4955572187900543,,0.7265013456344604,,0.7456548810005188,3,459,,0.5471023917198181
0.635941207408905,,0.5778484344482422,,0.6667110919952393,,0.6681125164031982,,3,459,0.4463689625263214,
,0.7366032600402832,,0.5209062099456787,,0.7175309658050537,,0.8077606558799744,4,574,,0.5737766027450562
0.706341028213501,,0.7192317843437195,,0.7319034934043884,,0.7293814420700073,,4,574,0.34545841813087463,
,0.7378786206245422,,0.5290572047233582,,0.7053446769714355,,0.8238503336906433,5,689,,0.702324390411377
0.790702223777771,,0.8611229658126831,,0.7939383387565613,,0.8096879124641418,,5,689,0.20028580725193024,
,0.7350794076919556,,0.5056072473526001,,0.6755645275115967,,0.8548880219459534,6,804,,0.8388593792915344
0.8229959607124329,,0.9150035977363586,,0.8243409991264343,,0.83648282289505,,6,804,0.12456362694501877,
,0.6896276473999023,,0.469266802072525,,0.7169380784034729,,0.7224520444869995,7,805,,0.5286853909492493
