evaluation,metric,average
EVALUATION_1,ICM-Soft,-5.188691171870117
EVALUATION_1,ICM-Soft-Norm,0.2257592747958118
EVALUATION_2,ICM-Soft,-5.005069421595681
EVALUATION_2,ICM-Soft-Norm,0.2354016093462743
EVALUATION_3,ICM-Soft,-5.830824543006512
EVALUATION_3,ICM-Soft-Norm,0.19514546898251947
EVALUATION_4,ICM-Soft,-5.589750710876495
EVALUATION_4,ICM-Soft-Norm,0.2002045131654626
EVALUATION_5,ICM-Soft,-5.367993605805038
EVALUATION_5,ICM-Soft-Norm,0.21331133947512612
average,ICM-Soft,-5.396465890630769
average,ICM-Soft-Norm,0.21396444115303886
