F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.37241318821907043,,0.09231368452310562,,0.3723117709159851,,0.4108147621154785,0,40,,0.9638450741767883
0.3286451995372772,,-0.014572695828974247,,0.3328157365322113,,0.39600592851638794,,0,40,1.0232152938842773,
,0.34875914454460144,,0.06259993463754654,,0.35357150435447693,,0.4095648229122162,1,81,,0.9223437309265137
0.43326929211616516,,0.1465895175933838,,0.4409075379371643,,0.5009490251541138,,1,81,0.8889405727386475,
,0.4091934263706207,,0.17186962068080902,,0.4312842786312103,,0.43457022309303284,2,122,,0.9168279767036438
0.6317265629768372,,0.3726513385772705,,0.6386301517486572,,0.6762855648994446,,2,122,0.7025887370109558,
,0.4532349109649658,,0.19384023547172546,,0.49011722207069397,,0.46790164709091187,3,163,,0.9703509211540222
0.8565366864204407,,0.6672602891921997,,0.8635696768760681,,0.8701260089874268,,3,163,0.3920600116252899,
,0.4162989556789398,,0.15466836094856262,,0.45197930932044983,,0.4310193955898285,4,204,,1.08219313621521
0.9582273364067078,,0.7706725597381592,,0.961568295955658,,0.9618271589279175,,4,204,0.16342684626579285,
,0.3923887014389038,,0.09323356300592422,,0.4063192307949066,,0.41732722520828247,5,245,,1.2724320888519287
0.9749778509140015,,0.7937183976173401,,0.9789078235626221,,0.9748963713645935,,5,245,0.08629195392131805,
,0.43518322706222534,,0.14617639780044556,,0.48057788610458374,,0.45390671491622925,6,286,,1.337157964706421
0.9815834164619446,,0.8025584816932678,,0.9842994809150696,,0.9808487892150879,,6,286,0.049156010150909424,
,0.4091934263706207,,0.17186962068080902,,0.4312842786312103,,0.43457022309303284,7,287,,0.9168279767036438
