F1_train,F1_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,0.0,,0.0,0,42,,0.582524299621582
0.14471741020679474,,0.15269684791564941,,0.17290253937244415,,0,42,0.6655769944190979,
,0.0,,0.0,,0.0,1,85,,0.5487213730812073
0.0003239391080569476,,0.0004859086766373366,,0.0002429543383186683,,1,85,0.5511434078216553,
,0.0,,0.0,,0.0,2,128,,0.5389547944068909
0.0010042112553492188,,0.0014577260008081794,,0.0008503401768393815,,2,128,0.5366289615631104,
,0.10142775624990463,,0.1065683588385582,,0.11957670748233795,3,171,,0.5335371494293213
0.02477208711206913,,0.03320375457406044,,0.02182539738714695,,3,171,0.514115571975708,
,0.17450757324695587,,0.25810185074806213,,0.16078373789787292,4,214,,0.5195755362510681
0.09459946304559708,,0.11848074942827225,,0.08827337622642517,,4,214,0.48127683997154236,
,0.21473482251167297,,0.3032936453819275,,0.20590941607952118,5,257,,0.5158724784851074
0.19522419571876526,,0.22562353312969208,,0.1896258145570755,,5,257,0.4467324912548065,
,0.22389915585517883,,0.3164021074771881,,0.21533730626106262,6,300,,0.5157679319381714
0.24684391915798187,,0.275307834148407,,0.2435617446899414,,6,300,0.41194331645965576,
,0.29336977005004883,,0.3652579188346863,,0.26775461435317993,7,343,,0.4993962347507477
0.27440887689590454,,0.3034904897212982,,0.271056205034256,,7,343,0.39129555225372314,
,0.28400957584381104,,0.3631833493709564,,0.2575463056564331,8,386,,0.508133053779602
0.2856518626213074,,0.3070942759513855,,0.2840135395526886,,8,386,0.3771732747554779,
,0.2634075880050659,,0.342166006565094,,0.23913362622261047,9,429,,0.5107550621032715
0.3130779564380646,,0.33734211325645447,,0.3091593384742737,,9,429,0.36037230491638184,
,0.2786974608898163,,0.34753304719924927,,0.25790345668792725,10,430,,0.5061238408088684
