F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,-0.14778649806976318,,0.0,,0.0,0,42,,0.6611042618751526
0.2294660359621048,,-0.08460908383131027,,0.2485867589712143,,0.2703843116760254,,0,42,0.6693946719169617,
,0.7631540894508362,,0.16982294619083405,,0.6341991424560547,,0.9952380657196045,1,85,,0.6093487739562988
0.6627192497253418,,0.20696796476840973,,0.6673420071601868,,0.7447299361228943,,1,85,0.6375524401664734,
,0.4325543940067291,,0.09595344960689545,,0.605442225933075,,0.5076201558113098,2,128,,0.6458653807640076
0.7651250958442688,,0.37361109256744385,,0.7333055138587952,,0.8518797159194946,,2,128,0.5828768014907837,
,0.7807599306106567,,0.34200915694236755,,0.7073923349380493,,0.9005303978919983,3,171,,0.5973856449127197
0.7568878531455994,,0.39088213443756104,,0.7360065579414368,,0.8299013376235962,,3,171,0.5903115272521973,
,0.7153074145317078,,0.4376167058944702,,0.8491576910018921,,0.6591768264770508,4,214,,0.5914003252983093
0.8247808218002319,,0.5742675065994263,,0.8281327486038208,,0.8597185611724854,,4,214,0.4629024565219879,
,0.7524124979972839,,0.2785661518573761,,0.7120500802993774,,0.8155149817466736,5,257,,0.6437265276908875
0.9098204970359802,,0.7897557616233826,,0.910220205783844,,0.9269701242446899,,5,257,0.2884862422943115,
,0.7379741668701172,,0.33943498134613037,,0.7618619203567505,,0.7404046058654785,6,300,,0.9125468730926514
0.9618322253227234,,0.9214057326316833,,0.9596701264381409,,0.9733292460441589,,6,300,0.14819633960723877,
,0.7317673563957214,,0.3099864423274994,,0.7363237142562866,,0.7531445622444153,7,343,,0.9058565497398376
0.9756694436073303,,0.9478759765625,,0.9764829277992249,,0.9819966554641724,,7,343,0.09064355492591858,
,0.7448427081108093,,0.3139459192752838,,0.7414712905883789,,0.7702775597572327,8,386,,1.0599348545074463
0.9858280420303345,,0.9681979417800903,,0.9792188405990601,,0.9953703284263611,,8,386,0.05804954841732979,
,0.7153074145317078,,0.4376167058944702,,0.8491576910018921,,0.6591768264770508,9,387,,0.5914003252983093
