evaluation,metric,average
EVALUATION_1,ICM-Soft,-4.47325395160472
EVALUATION_1,ICM-Soft-Norm,0.26412330100789483
EVALUATION_2,ICM-Soft,-4.4498613100365825
EVALUATION_2,ICM-Soft-Norm,0.2686718013835251
EVALUATION_3,ICM-Soft,-6.885710568034518
EVALUATION_3,ICM-Soft-Norm,0.13521379781792972
EVALUATION_4,ICM-Soft,-5.553518993989652
EVALUATION_4,ICM-Soft-Norm,0.21039641401688167
EVALUATION_5,ICM-Soft,-4.707024013830403
EVALUATION_5,ICM-Soft-Norm,0.25514388679890915
average,ICM-Soft,-5.213873767499175
average,ICM-Soft-Norm,0.2267098402050281
