F1_train,F1_val,MCC_train,MCC_val,P_train,P_val,R_train,R_val,epoch,step,train_loss,val_loss
,0.0,,-0.08717051148414612,,0.0,,0.0,0,42,,0.683716356754303
0.32026365399360657,,-0.022178340703248978,,0.3211764693260193,,0.37680676579475403,,0,42,0.6905214786529541,
,0.7053149938583374,,0.08717051148414612,,0.5595238208770752,,1.0,1,85,,0.6619935035705566
0.40132442116737366,,0.18558569252490997,,0.5020378232002258,,0.40954482555389404,,1,85,0.6608020663261414,
,0.7085615396499634,,0.13691401481628418,,0.5907177329063416,,0.9233927130699158,2,128,,0.705389142036438
0.5813614130020142,,0.27250176668167114,,0.6380881667137146,,0.642569899559021,,2,128,0.6390811204910278,
,0.5888449549674988,,0.2793368697166443,,0.7486206293106079,,0.5330960154533386,3,171,,0.6321834921836853
0.606530487537384,,0.3575919270515442,,0.7173879146575928,,0.605980396270752,,3,171,0.6294519305229187,
,0.7311241626739502,,0.2904644310474396,,0.6331811547279358,,0.9035308361053467,4,214,,0.6775240898132324
0.656629204750061,,0.45196855068206787,,0.7532004117965698,,0.637962281703949,,4,214,0.5645089745521545,
,0.7486211061477661,,0.3167876601219177,,0.6339803338050842,,0.9435575604438782,5,257,,0.7279139161109924
0.7100639939308167,,0.5235729217529297,,0.7567436695098877,,0.7301050424575806,,5,257,0.5063795447349548,
,0.6735852360725403,,0.328936904668808,,0.711843729019165,,0.6824849247932434,6,300,,0.7062649726867676
0.7726985216140747,,0.6362921595573425,,0.7952870726585388,,0.7867715954780579,,6,300,0.39516890048980713,
,0.698100209236145,,0.31741583347320557,,0.6995993256568909,,0.7306950092315674,7,343,,0.8668495416641235
0.8537408113479614,,0.8170942664146423,,0.8594468235969543,,0.8734523057937622,,7,343,0.23394019901752472,
,0.5826717019081116,,0.2794947922229767,,0.745172917842865,,0.5279923677444458,8,344,,0.6345213651657104
